"","V1","V2"
"221",435713.296717755,4936582.65086983
"222",436089.596803448,4945920.35502084
"223",380113.663838442,4935385.48581464
"224",430243.479793835,4935627.79542586
"225",404145.022890345,5024328.05019562
"226",380314.361078964,4975378.00950398
"227",365323.497040515,5018468.94929233
"228",417371.708842895,5031439.09185193
"229",375740.657912558,4997273.45202885
"230",381646.559747773,5002096.92494287
"231",344936.168971325,4996705.99808868
"232",361377.110493208,5025288.56612858
"233",387323.497789056,5013571.30052998
"234",389257.639831356,4990049.58604392
"235",389578.882202847,5036976.72210903
"236",359068.886931227,4977131.80955175
"237",414008.396985481,4972886.31033347
"238",401189.460880643,5033590.37244327
"239",413298.009185645,5034017.36309949
"240",383596.158286568,5004021.67283107
"241",395571.915069742,4978618.48978373
"242",380815.703145897,5014672.99982953
"243",420527.978608693,5000429.68523001
"244",399452.865942631,5004569.13579523
"245",365289.60219934,5009680.6855615
"246",407944.854493041,5037230.75032465
"247",390413.261510103,5019476.98762497
"248",375690.822632174,5032664.27218655
"249",400110.352833241,5009834.39613723
"250",392209.507433709,4966551.01891497
"251",406855.396871163,5033148.18366554
"252",360670.173175047,4962919.8204763
"253",361109.825788238,4961712.51498782
"254",403600.899756705,5018255.2557698
"255",374813.399451243,4967465.05656294
"256",422444.995754012,5022404.5887013
"257",411742.252757295,4990760.0601517
"258",344145.229410085,4981378.58689638
"259",385735.839466039,5013020.83052744
"260",351044.904698096,4995391.88273269
"261",416819.093724099,5015091.69782151
"262",347797.233753737,4995942.60910724
"263",411460.439996648,5023185.9750193
"264",371916.769027979,5015612.88771004
"265",414783.326327292,4988308.06958045
"266",348795.30857968,5003458.89813914
"267",377066.057616707,5020135.26599789
"268",397731.340144973,4982448.4819832
"269",341699.749376004,5007633.56657579
"270",409717.265361462,4991022.89844764
"271",408640.874626496,5020399.43265789
"272",411145.01528573,5038453.7129723
"273",409732.695659914,5009644.68570063
"274",422616.024688535,5001462.45468676
"275",416229.191924262,4987365.3285611
"276",391535.178147295,4982753.90791393
"277",367231.394625696,5036035.99967808
"278",387612.198686535,5011015.51401844
"279",411073.010037548,5043823.74212265
"280",385507.380905599,4977307.30947357
"281",345618.815448381,5006551.92914641
"282",397059.866022943,5021871.2117916
"283",386160.014187221,4984664.88502628
"284",410186.985275706,5019789.32093569
"285",369489.238890596,4967460.68200666
"286",390159.035431829,4969919.95664871
"287",326573.18135783,4990265.35864056
"288",401991.945507686,5021972.99882
"289",420241.417181793,5034165.96684833
"290",388084.049490957,4965284.0626858
"291",405778.657157412,5030658.62084645
"292",408138.821920515,4992133.73428378
"293",410111.484756577,5031288.41906677
"294",401726.100824854,4985724.07611883
"295",357129.592474002,4982572.17131764
"296",408815.251508932,5028882.62149841
"297",351798.758198699,4976170.08384921
"298",393465.749886712,5022757.33324895
"299",376649.673459298,5016032.12555432
"300",386249.783779773,4996617.3089221
"301",361759.776878148,4980800.58430422
"302",369515.686990374,4972201.84638692
"303",403726.112841115,4988603.98732376
"304",389777.919353447,4975049.59477684
"305",377729.160054449,4982664.21844417
"306",375789.298559613,4975320.379245
"307",422515.130876293,5032408.84512578
"308",408634.777793656,4972765.98734236
"309",356287.617982476,4979051.45528954
"310",389371.73065312,5031953.4887397
"311",363203.081022281,4972700.48952756
"312",338059.357118839,4983133.28533355
"313",345574.201424426,4971694.70685318
"314",412861.579232771,4967197.48634844
"315",357152.17760618,4973550.91436155
"316",362955.210404552,4969542.27571518
"317",391908.881255757,5024273.82033263
"318",388639.815873237,5024119.10380141
"319",404605.100354666,5030785.32037845
"320",408411.419618276,5041957.25797382
"321",404689.849484477,5045566.69767861
"322",376269.51907506,4990048.78855829
"323",381171.97175058,5034375.31667705
"324",412662.100451153,4997227.28301686
"325",383372.433724415,4986493.63393916
"326",412384.036077209,4981258.63708751
"327",392873.819088094,5020017.39899465
"328",400030.445281176,5017531.81436363
"329",398173.948436182,5011903.19530626
"330",383767.645758968,4991445.84877903
"331",388286.898280843,5005131.74017146
"332",388294.328761596,5018197.7357578
"333",368637.404311847,4975496.18731887
"334",411613.128658826,5028029.70230561
"335",382676.23347677,5040431.51183169
